id,name,description,descriptionHTML,mail,website,instagramHandle,facebookHandle,twitterHandle,linkedinHandle,discordLink,telegramLink,youtubeChannel,tiktokHandle,Social,Treffen,Adresse,Anmerkungen
ASPolitik,Außen- und Sicherheitspolitik,"Die HSG bietet Studierenden ein Diskussions- und Weiterbildungsforum, zu aktuellen Themen der Außen- und Sicherheitspolitik. Unabhängig von Vorwissen, Studiengang und politischer Orientierung kann somit ein offener Raum für innovative Ideen und mögliche Lösungsansätze entstehen. Unser Ziel ist es, eine außen- und sicherheitspolitische Debatte an die Universität zu holen, um so ein Interesse an diesem wichtigen Thema zu wecken.","<p>Die HSG bietet Studierenden ein Diskussions- und Weiterbildungsforum, zu aktuellen Themen der Außen- und Sicherheitspolitik. Unabhängig von Vorwissen, Studiengang und politischer Orientierung kann somit ein offener Raum für innovative Ideen und mögliche Lösungsansätze entstehen. Unser Ziel ist es, eine außen- und sicherheitspolitische Debatte an die Universität zu holen, um so ein Interesse an diesem wichtigen Thema zu wecken.</p>
",asp.hsg@uni-konstanz.de,,,,,,,,,,,,,
Botschafter,Botschafter Studienstiftung Konstanz,"Als Bildungsbotschafter:innen der Studienstiftung des deutschen Volkes, einem politisch, konfessionell und weltanschaulich unabhängigen Förderwerk, setzen wir uns durch Öffentlichkeitsarbeit für mehr Bildungsgerechtigkeit ein. Unser Ziel ist es, Schüler\*innen und Studierende über Studienmöglichkeiten, Studienfinanzierung und die Studienstiftung des deutschen Volkes zu informieren. Dafür organisieren wir Schulbesuche, Informationsveranstaltungen, begleiten Auswahlseminare der Studienstiftung und sind bei (Bildungs-)Messen und Hochschulveranstaltungen vertreten. Die Mitarbeit in unserer Hochschulgruppe ist nur als Stipendiat\*in oder Alumnus/Alumna der Studienstiftung des deutschen Volkes möglich.

Wir stehen gerne für alle Fragen zur Stiftung und dem Stipendium der Studienstiftung des deutschen Volkes zur Verfügung.","<p>Als Bildungsbotschafter:innen der Studienstiftung des deutschen Volkes, einem politisch, konfessionell und weltanschaulich unabhängigen Förderwerk, setzen wir uns durch Öffentlichkeitsarbeit für mehr Bildungsgerechtigkeit ein. Unser Ziel ist es, Schüler*innen und Studierende über Studienmöglichkeiten, Studienfinanzierung und die Studienstiftung des deutschen Volkes zu informieren. Dafür organisieren wir Schulbesuche, Informationsveranstaltungen, begleiten Auswahlseminare der Studienstiftung und sind bei (Bildungs-)Messen und Hochschulveranstaltungen vertreten. Die Mitarbeit in unserer Hochschulgruppe ist nur als Stipendiat*in oder Alumnus/Alumna der Studienstiftung des deutschen Volkes möglich.</p>
<p>Wir stehen gerne für alle Fragen zur Stiftung und dem Stipendium der Studienstiftung des deutschen Volkes zur Verfügung.</p>
",botschafter-studienstiftung.hsg@uni-konstanz.de,,,,,,,,,,,,,
Mondial,Café Mondial,"Die Hochschulgruppe Café Mondial möchte Begegnungen zwischen Menschen ermöglichen. Ein besonderer Fokus liegt auf der Unterstützung von Menschen, die geflüchtet sind. Unsere momentane Hauptaktivität ist das Sprachcafé. Dort kann in einer entspannten Atmosphäre Deutsch geübt und gleichzeitig Kontakte geknüpft werden. Pro Treffen wird über ein Thema diskutiert, wie zum Beispiel Lieblingsfilme oder Minimalismus und somit der Wortschatz erweitert.
In Verbindung mit dem Seminar *Working with Refugees*, kann das Engagement bei der Hochschulgruppe Café Mondial als Schlüsselqualifikation angerechnet werden. 

Wir freuen uns über interessierte Personen. Bei Fragen schreibt gerne eine E-Mail.","<p>Die Hochschulgruppe Café Mondial möchte Begegnungen zwischen Menschen ermöglichen. Ein besonderer Fokus liegt auf der Unterstützung von Menschen, die geflüchtet sind. Unsere momentane Hauptaktivität ist das Sprachcafé. Dort kann in einer entspannten Atmosphäre Deutsch geübt und gleichzeitig Kontakte geknüpft werden. Pro Treffen wird über ein Thema diskutiert, wie zum Beispiel Lieblingsfilme oder Minimalismus und somit der Wortschatz erweitert. In Verbindung mit dem Seminar <em>Working with Refugees</em>, kann das Engagement bei der Hochschulgruppe Café Mondial als Schlüsselqualifikation angerechnet werden.</p>
<p>Wir freuen uns über interessierte Personen. Bei Fragen schreibt gerne eine E-Mail.</p>
",cafe-mondial.hsg@uni-konstanz.de,,,,,,,,,,,Sprachlerncafé jeden Donnerstag von 19 - 20 Uhr im Café Mondial,"Zum Hussenstein 12, 78462 Konstanz",
CorrelAid,CorrelAidX Konstanz,"CorrelAid ist ein überparteiliches, gemeinnütziges Netzwerk von Data-Science-begeisterten Menschen, die die Welt mithilfe von Data Science verändern wollen. Wir ermöglichen es Data Scientists, ihre Fähigkeiten und ihre Skills für das Gemeinwohl im Allgemeinen einzusetzen und helfen sozialen Organisationen, ihren Impact auf die Gesellschaft zu erhöhen, indem wir pro-bono (Data4Good)-Projekte durchführen.
Außerdem bilden wir soziale Organisationen zu datenbezogenen Themen weiter und fördern die individuelle Entwicklung unserer Netzwerkmitglieder, indem wir ihnen Möglichkeiten bieten, sich auszutauschen und voneinander zu lernen.

CorrelAid e.V. ist dezentral in Local Chapters organisiert. Der Verein wurde ursprünglich in Konstanz gegründet, ist aber mittlerweile deutschland- und EU-weit aktiv.

Bei CorrelAidX Konstanz handelt es sich um ein Local Chapter, das auch (aber nicht ausschließlich) im universitären Rahmen aktiv ist. Viele unserer Mitglieder sind Studierende. Wir bieten Workshops für Studierende an und vermitteln Projekte, die sich Studierende in Ihrem Studium anrechnen lassen können.","<p>CorrelAid ist ein überparteiliches, gemeinnütziges Netzwerk von Data-Science-begeisterten Menschen, die die Welt mithilfe von Data Science verändern wollen. Wir ermöglichen es Data Scientists, ihre Fähigkeiten und ihre Skills für das Gemeinwohl im Allgemeinen einzusetzen und helfen sozialen Organisationen, ihren Impact auf die Gesellschaft zu erhöhen, indem wir pro-bono (Data4Good)-Projekte durchführen. Außerdem bilden wir soziale Organisationen zu datenbezogenen Themen weiter und fördern die individuelle Entwicklung unserer Netzwerkmitglieder, indem wir ihnen Möglichkeiten bieten, sich auszutauschen und voneinander zu lernen.</p>
<p>CorrelAid e.V. ist dezentral in Local Chapters organisiert. Der Verein wurde ursprünglich in Konstanz gegründet, ist aber mittlerweile deutschland- und EU-weit aktiv.</p>
<p>Bei CorrelAidX Konstanz handelt es sich um ein Local Chapter, das auch (aber nicht ausschließlich) im universitären Rahmen aktiv ist. Viele unserer Mitglieder sind Studierende. Wir bieten Workshops für Studierende an und vermitteln Projekte, die sich Studierende in Ihrem Studium anrechnen lassen können.</p>
",correlaid.hsg@uni-konstanz.de,http://correlaid.org/,https://www.instagram.com/correlaidkonstanz,,https://twitter.com/CorrelaidxKN,https://www.linkedin.com/company/correlaid-konstanz,,,,,,"öffentliche Treffen findet immer am letzten Montag des Monats um 18Uhr in der Reichenaustr. 11, 78467 Konstanz statt",,
DGB,Deutscher Gewerkschaftsbund (DGB),"In der DGB-Hochschulgruppe sind alle Studierende, die sich für gewerkschaftliche Themen interessieren, herzlich willkommen.

Aktuell ist unser großes Projekt die [TV-Stud-Initiative](https://tvstud.de), die sich für einen Tarifvertrag für studentische Beschäftigte einsetzt. Wir sind aber natürlich auch für alle übrigen gewerkschaftlichen Themen offen und arbeiten eng mit der StuVe und natürlich auch der [ver.di-Gruppe](mailto:verdi@uni-konstanz.de) an der UKN zusammen.","<p>In der DGB-Hochschulgruppe sind alle Studierende, die sich für gewerkschaftliche Themen interessieren, herzlich willkommen.</p>
<p>Aktuell ist unser großes Projekt die <a href=""https://tvstud.de"">TV-Stud-Initiative</a>, die sich für einen Tarifvertrag für studentische Beschäftigte einsetzt. Wir sind aber natürlich auch für alle übrigen gewerkschaftlichen Themen offen und arbeiten eng mit der StuVe und natürlich auch der <a href=""mailto:verdi@uni-konstanz.de"">ver.di-Gruppe</a> an der UKN zusammen.</p>
",dgb.hsg@uni-konstanz.de,,,,,,,https://t.me/+6tKgOp8cqTQ4ZDgy,,,,Wir treffen uns regelmäßig während der Vorlesungszeit und unregelmäßig während der Semesterferien.,,
ELSA,ELSA-Konstanz e.V. - The European Law Students’ Association,"Wir sind eine Hochschulgruppe, die sich dem Ziel verschrieben hat, das theoretisch und trocken klingende Jura-Studium interessanter und praktischer zu gestalten. Dazu veranstalten wir besondere Events, organisieren Ausfahrten in andere Städte und besuchen interessante Einrichtungen, in die man sonst nicht einfach so reinkommt (z.B. die Rechtsmedizin in Freiburg). Falls auch du Lust hast, so etwas mitzuorganisieren oder auch einfach nur teilzunehmen, dann melde dich bei uns oder komm einfach vorbei! Wir freuen uns auf dich.","<p>Wir sind eine Hochschulgruppe, die sich dem Ziel verschrieben hat, das theoretisch und trocken klingende Jura-Studium interessanter und praktischer zu gestalten. Dazu veranstalten wir besondere Events, organisieren Ausfahrten in andere Städte und besuchen interessante Einrichtungen, in die man sonst nicht einfach so reinkommt (z.B. die Rechtsmedizin in Freiburg). Falls auch du Lust hast, so etwas mitzuorganisieren oder auch einfach nur teilzunehmen, dann melde dich bei uns oder komm einfach vorbei! Wir freuen uns auf dich.</p>
",mail@elsa-konstanz.de,,,,,,,,,,,,C441,
ESN,ESN (Erasmus Student Network) [ehem. LEI],"Du hast Lust auf internationalen Spirit? Egal, ob du schon einmal länger im Ausland warst oder nicht, bei uns bist du richtig!

Wir kümmern uns um internationale Studis in Konstanz und organisieren Events und Ausflüge, bei denen Internationals sowie Locals herzlich willkommen sind. Von Kneipentouren über Wanderungen oder einem Trip zum Europark ist alles dabei. Das Team von ESN Konstanz ist ein bunter Haufen Studierender aus allen möglichen Fachrichtungen und wir sind Teil des europaweiten ESN Netzwerks. Bei uns gibt es daher sogar noch mehr zu entdecken als Eventplanung.
ESN ist der perfekte Ort, um sich auch mal in Bereichen wie Communication, Human Resources, IT oder als Teamleitung auszuprobieren und viele Kontakte zu Internationals, aber auch zu anderen ESN Volunteers aus ganz Europa zu knüpfen.

Wenn du Lust hast bei uns mitzumachen, komm doch gerne mal bei einem unserer wöchentlichen Teammeetings am Mittwochabend vorbei! Melde dich dafür gerne per Mail oder schreibe uns auf Instagram. Wir freuen uns auf dich!","<p>Du hast Lust auf internationalen Spirit? Egal, ob du schon einmal länger im Ausland warst oder nicht, bei uns bist du richtig!</p>
<p>Wir kümmern uns um internationale Studis in Konstanz und organisieren Events und Ausflüge, bei denen Internationals sowie Locals herzlich willkommen sind. Von Kneipentouren über Wanderungen oder einem Trip zum Europark ist alles dabei. Das Team von ESN Konstanz ist ein bunter Haufen Studierender aus allen möglichen Fachrichtungen und wir sind Teil des europaweiten ESN Netzwerks. Bei uns gibt es daher sogar noch mehr zu entdecken als Eventplanung. ESN ist der perfekte Ort, um sich auch mal in Bereichen wie Communication, Human Resources, IT oder als Teamleitung auszuprobieren und viele Kontakte zu Internationals, aber auch zu anderen ESN Volunteers aus ganz Europa zu knüpfen.</p>
<p>Wenn du Lust hast bei uns mitzumachen, komm doch gerne mal bei einem unserer wöchentlichen Teammeetings am Mittwochabend vorbei! Melde dich dafür gerne per Mail oder schreibe uns auf Instagram. Wir freuen uns auf dich!</p>
",esn@uni-konstanz.de,https://konstanz.esn-germany.de/,https://www.instagram.com/esnkonstanz/,https://www.facebook.com/esn.konstanz/,,,,,,,,,,
GBS,Giordano Bruno Stiftung (GBS),"Ziel der GBS-Hochschulgruppe Konstanz ist es, eine tragfähige humanistische, naturalistische, rationale und evidenzbasierte Alternative zu traditionellen religiösen Ideologien, im Sinne des evolutionären Humanismus und der offenen Gesellschaft, zu fördern. Wir möchten daher säkularen Studierenden, jeglicher Weltanschauung, einen Raum zum Austausch und Vernetzung bieten. In der Hochschulgruppe setzen wir uns für das freie Selbstbestimmungsrecht jedes Einzelnen, für Menschenrechte, Wissenschaftskommunikation, Meinungsfreiheit und kritischen Rationalismus ein. Wir organisieren Vorträge, treffen uns zum geselligen Beisammensein und planen Freizeitangebote, auf das der Mensch als soziales Tier genauso angewieen ist wie auf intellektuellem Austausch. Wir diskutieren philosophische, kulturelle, politische und gesellschaftliche Themen, wobei wir uns auch besonders für weltanscahuliche Fragen interessieren und möchten ebenfalls praktische Unterstützung für Personen anbieten, welche persönliche Erfahrungen mit Menschenrechtsverletzungen gemacht haben.

Als HSG der Giordano-Bruno-Stiftung (GBS) sind wir Teil des deutschlandweiten Netzwerks aus über 50 Regional- und Hochschulgruppen, welche sich allesamt für Humanismus und Aufklärung in der Gesellschaft einsetzen. Wir kooperieren daher gerne mit anderen Gruppen der Stiftung und planen gemeinsame Aktionen. In regelmäßigen Abständen treffen sich die Vertreter und Vertreterinnen der Gruppen am Stiftungssitz der GBS zum überregionalen Austausch, Planung und Umsetzung nationaler Projekte.","<p>Ziel der GBS-Hochschulgruppe Konstanz ist es, eine tragfähige humanistische, naturalistische, rationale und evidenzbasierte Alternative zu traditionellen religiösen Ideologien, im Sinne des evolutionären Humanismus und der offenen Gesellschaft, zu fördern. Wir möchten daher säkularen Studierenden, jeglicher Weltanschauung, einen Raum zum Austausch und Vernetzung bieten. In der Hochschulgruppe setzen wir uns für das freie Selbstbestimmungsrecht jedes Einzelnen, für Menschenrechte, Wissenschaftskommunikation, Meinungsfreiheit und kritischen Rationalismus ein. Wir organisieren Vorträge, treffen uns zum geselligen Beisammensein und planen Freizeitangebote, auf das der Mensch als soziales Tier genauso angewieen ist wie auf intellektuellem Austausch. Wir diskutieren philosophische, kulturelle, politische und gesellschaftliche Themen, wobei wir uns auch besonders für weltanscahuliche Fragen interessieren und möchten ebenfalls praktische Unterstützung für Personen anbieten, welche persönliche Erfahrungen mit Menschenrechtsverletzungen gemacht haben.</p>
<p>Als HSG der Giordano-Bruno-Stiftung (GBS) sind wir Teil des deutschlandweiten Netzwerks aus über 50 Regional- und Hochschulgruppen, welche sich allesamt für Humanismus und Aufklärung in der Gesellschaft einsetzen. Wir kooperieren daher gerne mit anderen Gruppen der Stiftung und planen gemeinsame Aktionen. In regelmäßigen Abständen treffen sich die Vertreter und Vertreterinnen der Gruppen am Stiftungssitz der GBS zum überregionalen Austausch, Planung und Umsetzung nationaler Projekte.</p>
",giordano-bruno.hsg@uni-konstanz.de,http://www.gbs-bodensee.de/,,,,,,,,,,,,
IAESTE,IAESTE,"Wir engagieren uns ehrenamtlich dafür, dass Studierende aus Konstanz und Umgebung ein Praktikum im Ausland machen können und gleichzeitig betreuen wir ausländische Studierende, die für ein Praktikum nach Konstanz kommen.
Genauer heißt das, dass wir den Bewerbungsprozess für Praktika im Ausland organisieren und für Euch als Ansprechpartner zum Bewerbungsverfahren zur Verfügung stehen. Außerdem unterstützen wir unsere internationalen Gäste, indem wir für sie Unterkünfte suchen und ihnen bei den täglichen Hürden helfen, die das Leben in Deutschland so mit sich bringen kann. Wir organisieren außerdem Ausflüge und veranstalten Freizeitaktivitäten aller Art.","<p>Wir engagieren uns ehrenamtlich dafür, dass Studierende aus Konstanz und Umgebung ein Praktikum im Ausland machen können und gleichzeitig betreuen wir ausländische Studierende, die für ein Praktikum nach Konstanz kommen. Genauer heißt das, dass wir den Bewerbungsprozess für Praktika im Ausland organisieren und für Euch als Ansprechpartner zum Bewerbungsverfahren zur Verfügung stehen. Außerdem unterstützen wir unsere internationalen Gäste, indem wir für sie Unterkünfte suchen und ihnen bei den täglichen Hürden helfen, die das Leben in Deutschland so mit sich bringen kann. Wir organisieren außerdem Ausflüge und veranstalten Freizeitaktivitäten aller Art.</p>
",iaeste@uni-konstanz.de,https://www.iaeste.de/de/ueber-iaeste/iaeste-germany/lokale-betreuungsstellen/lokalkomitee-konstanz/,,,,,,,,,,,,
IJM,IJM,"50 Millionen Menschen leben heute in Sklaverei. Ja, leider hast Du richtig gelesen...

Wir als IJM Hochschulgruppe sind Teil von International Justice Mission, der weltweit größten Anti-Sklaverei-NGO. IJM setzt sich auf der ganzen Welt gegen moderne Sklaverei und Menschenhandel ein, denn laut aktuellen Zahlen der International Labour Organization (ILO) leben weltweit 50 Millionen Menschen in Sklaverei, 12 Millionen von ihnen sind Kinder. IJM befreit Menschen aus Sklaverei und schult vor Ort Justiz & Polizei gemeinsam mit Regierungen und lokalen Behörden, um Täter:innen zu überführen und Rechtssysteme nachhaltig zu stärken.

Wir als Hochschulgruppe wollen in Konstanz und an der Uni auf das Thema Moderne Sklaverei aufmerksam machen. Hast du Interesse an gemeinsamen Aktionen und Events, um zusammen einen Unterschied für all die 50 Millionen Menschen zu machen? Dann melde Dich bei uns - wir freuen uns auf Dich!","<p>50 Millionen Menschen leben heute in Sklaverei. Ja, leider hast Du richtig gelesen…</p>
<p>Wir als IJM Hochschulgruppe sind Teil von International Justice Mission, der weltweit größten Anti-Sklaverei-NGO. IJM setzt sich auf der ganzen Welt gegen moderne Sklaverei und Menschenhandel ein, denn laut aktuellen Zahlen der International Labour Organization (ILO) leben weltweit 50 Millionen Menschen in Sklaverei, 12 Millionen von ihnen sind Kinder. IJM befreit Menschen aus Sklaverei und schult vor Ort Justiz &amp; Polizei gemeinsam mit Regierungen und lokalen Behörden, um Täter:innen zu überführen und Rechtssysteme nachhaltig zu stärken.</p>
<p>Wir als Hochschulgruppe wollen in Konstanz und an der Uni auf das Thema Moderne Sklaverei aufmerksam machen. Hast du Interesse an gemeinsamen Aktionen und Events, um zusammen einen Unterschied für all die 50 Millionen Menschen zu machen? Dann melde Dich bei uns - wir freuen uns auf Dich!</p>
",ijm.hsg@uni-konstanz.de,https://ijm-deutschland.de/,https://www.instagram.com/ijm_konstanz,,,,,,,,,,,Die Verlinkung zum Instagram Account auf der StuVe Website ist ein mailto link
JEF,JEF (Junge Europäer Konstanz e.V.),"Wir sind ein pro-europäischer, überparteilicher und überkonfessioneller Verband. Seit über 70 Jahre setzen wir uns für ein demokratisches, bürgernahes, föderales sowie friedliches Europa ein. In Konstanz veranstalten wir über das Jahr hinweg mehrere Diskussions- und Informationsveranstaltungen zu europäischen Themen. Zudem organisieren wir in jedem Semester eine Bildungsreise nach Brüssel, Straßburg oder weitere europäische Städte. Also falls du Lust auf nette Leute und europäische Themen hast, kannst du gerne einmal bei uns vorbeischauen.","<p>Wir sind ein pro-europäischer, überparteilicher und überkonfessioneller Verband. Seit über 70 Jahre setzen wir uns für ein demokratisches, bürgernahes, föderales sowie friedliches Europa ein. In Konstanz veranstalten wir über das Jahr hinweg mehrere Diskussions- und Informationsveranstaltungen zu europäischen Themen. Zudem organisieren wir in jedem Semester eine Bildungsreise nach Brüssel, Straßburg oder weitere europäische Städte. Also falls du Lust auf nette Leute und europäische Themen hast, kannst du gerne einmal bei uns vorbeischauen.</p>
",jef@uni-konstanz.de,,https://www.instagram.com/jef_konstanz,,,,,,,,,Jeden Donnerstag ist um 20 Uhr unser Stammtisch (normalerweise im Cafe Antik),,
Jutopien,Jutopien,"Unsere Hochschulgruppe soll der Vernetzung und dem Austausch Gleichgesinnter dienen, die sich für die Zusammenhänge zwischen Rechtswissenschaft / Gesetzgebung und sozialer Gerechtigkeit, Gleichstellung und Diversity interessieren.
Wir sprechen explizit Jurastudierende aller Semester, aber auch Studierende anderer Fächer an, die sich über rechts- und hochschulpolitische Entwicklungen und deren Zusammenhänge mit rassistischer, sexistischer, queerfeindlicher und weiteren Formen von Diskriminierung austauschen und damit auseinandersetzen wollen.
Geplant ist auf längere Sicht auch die Organisation von Veranstaltungen, z.B. Workshops, Lesekreisen u.Ä.

Unsere Treffen finden immer montags zweiwöchentlich statt. Um herauszufinden, wann und wo unser nächstes Treffen stattfindet, kannst du uns gerne per Mail oder Instagram kontaktieren.","<p>Unsere Hochschulgruppe soll der Vernetzung und dem Austausch Gleichgesinnter dienen, die sich für die Zusammenhänge zwischen Rechtswissenschaft / Gesetzgebung und sozialer Gerechtigkeit, Gleichstellung und Diversity interessieren. Wir sprechen explizit Jurastudierende aller Semester, aber auch Studierende anderer Fächer an, die sich über rechts- und hochschulpolitische Entwicklungen und deren Zusammenhänge mit rassistischer, sexistischer, queerfeindlicher und weiteren Formen von Diskriminierung austauschen und damit auseinandersetzen wollen. Geplant ist auf längere Sicht auch die Organisation von Veranstaltungen, z.B. Workshops, Lesekreisen u.Ä.</p>
<p>Unsere Treffen finden immer montags zweiwöchentlich statt. Um herauszufinden, wann und wo unser nächstes Treffen stattfindet, kannst du uns gerne per Mail oder Instagram kontaktieren.</p>
",jutopien.hsg@uni-konstanz.de,,https://www.instagram.com/jutopien,https://www.facebook.com/jutopien,,,,,,,,,,
Knastkontakte,Knastkontakte,Knastkontakte ist eine studentische Gruppe mit ehrenamtlichem Engagement in der Justizvollzugsanstalt Konstanz.,"<p>Knastkontakte ist eine studentische Gruppe mit ehrenamtlichem Engagement in der Justizvollzugsanstalt Konstanz.</p>
",knastkontakte.hsg@uni-konstanz.de,https://www.uni-konstanz.de/hsg/hochschulgruppe-knastkontakte/,,,,,,,,,,,,Beschreibung ist sehr kurz
LawLake,LAW & LAKE (Studentische Rechtsberatung HSG Uni KN),"LAW & LAKE ist eine Hochschulgruppe aus dem Fachbereich Rechtswissenschaft, die mit dem Ziel gegründet wurde, kostenfreie sowie qualitativ hochwertige und für jedermann zugängliche Rechtsberatung anzubieten.
Oft ist die Hemmschwelle, auch aufgrund einer teuren Erstberatung, einen Anwalt zu konsultieren, sehr hoch, der Streitwert schlicht zu gering, der Betroffene bedürftig oder mit dem System der Beratungshilfe nicht vertraut. Hier setzen wir als eine der ersten studentischen Rechtsberatungen in Deutschland mit unkompliziert und unentgeltlich gewährtem Rechtsrat an und können seit unserer Gründung 2014 bereits auf über 200 erfolgreich beratene Mandate zurückblicken.

Wenn du auch Jura studierst und mitmachen willst, bist du herzlich eingeladen, dich ab dem 4. Semester bei uns zu bewerben. Wir freuen uns auf dich!","<p>LAW &amp; LAKE ist eine Hochschulgruppe aus dem Fachbereich Rechtswissenschaft, die mit dem Ziel gegründet wurde, kostenfreie sowie qualitativ hochwertige und für jedermann zugängliche Rechtsberatung anzubieten. Oft ist die Hemmschwelle, auch aufgrund einer teuren Erstberatung, einen Anwalt zu konsultieren, sehr hoch, der Streitwert schlicht zu gering, der Betroffene bedürftig oder mit dem System der Beratungshilfe nicht vertraut. Hier setzen wir als eine der ersten studentischen Rechtsberatungen in Deutschland mit unkompliziert und unentgeltlich gewährtem Rechtsrat an und können seit unserer Gründung 2014 bereits auf über 200 erfolgreich beratene Mandate zurückblicken.</p>
<p>Wenn du auch Jura studierst und mitmachen willst, bist du herzlich eingeladen, dich ab dem 4. Semester bei uns zu bewerben. Wir freuen uns auf dich!</p>
",nachricht@law-and-lake.de,https://law-and-lake.com/,,,,,,,,,,nach Absprache (meist 2 Treffen pro Semester); darüber hinaus regelmäßige Beratung von Mandanten in 2er-oder 3er-Teams (flexible Zeiteinteilung),,
Nachtlicht,Nachtlicht,"Unser oberstes Ziel ist es, an unserer Universität zertifizierte Awareness-Teams aufzubauen, die nach einem von uns verfassten Leitfaden agieren. Diese Teams werden bei universitären Veranstaltungen wie Partys präsent sein, um einen safer space zu ermöglichen, bei dem Betroffene Unterstützung finden. Auch wollen wir so auf wichtige Themen der Sensibilisierung und Aufklärung aufmerksam machen. Wir möchten eine Kultur des respektvollen Miteinanders fördern und dazu beitragen, dass sich alle Studierenden sicher und wohl fühlen.","<p>Unser oberstes Ziel ist es, an unserer Universität zertifizierte Awareness-Teams aufzubauen, die nach einem von uns verfassten Leitfaden agieren. Diese Teams werden bei universitären Veranstaltungen wie Partys präsent sein, um einen safer space zu ermöglichen, bei dem Betroffene Unterstützung finden. Auch wollen wir so auf wichtige Themen der Sensibilisierung und Aufklärung aufmerksam machen. Wir möchten eine Kultur des respektvollen Miteinanders fördern und dazu beitragen, dass sich alle Studierenden sicher und wohl fühlen.</p>
",nachtlicht.hsg@uni-konstanz.de,,,,,,,,,,,,,
Nightline,Nightline,"Die Nightline Konstanz ist ein kostenloses und anonymes Zuhörangebot – von Studierenden für Studierende. Mit unserem Konzept wollen wir euch die Möglichkeit bieten mit jemandem, der euch vorurteilsfrei zuhört, über das, was euch beschäftigt, zu sprechen. Egal, welches Anliegen ihr habt, ob ihr Erstis oder Promovierende seid, ob ihr ein bestimmtes Anliegen habt, oder einfach eure Gedanken sortieren möchtet - wir haben immer ein offenes Ohr für euch!
Wenn ihr euch für eine Mitarbeit bei uns interessiert, schaut gerne auf unsere Webseite. Dort veröffentlichen wir zu Semesterstart die Termine für die Infoabende.",,kontakt@nightline-konstanz.de,http://www.nightline-konstanz.de/,nightlinekonstanz,,,,,,,,,,,
Quak,QuAK (Queere Anlaufstelle Konstanz),"### Was ist QuAK?
QuAK ist eine Peer-Beratungsstelle von und für queere Menschen. Als Hochschulgruppe der Universität Konstanz setzen wir uns außerdem für eine queer- bzw. TIN*-inklusive Lehre ein.

### Wen beraten wir?
Unser Beratungsangebot richtet sich nicht nur an queere Studierende und Angestellte der Universität Konstanz, sondern auch an alle Allies.","<h3 id=""was-ist-quak"">Was ist QuAK?</h3>
<p>QuAK ist eine Peer-Beratungsstelle von und für queere Menschen. Als Hochschulgruppe der Universität Konstanz setzen wir uns außerdem für eine queer- bzw. TIN*-inklusive Lehre ein.</p>
<h3 id=""wen-beraten-wir"">Wen beraten wir?</h3>
<p>Unser Beratungsangebot richtet sich nicht nur an queere Studierende und Angestellte der Universität Konstanz, sondern auch an alle Allies.</p>
",quak.hsg@uni-konstanz.de,,https://www.instagram.com/queereanlaufstellekonstanz/,,,,,,,,,"Offene Sprechstunde: Jeden Montag, 14:00 Uhr - 15:00 Uhr in G401
Organisationsteam: Jeden Montag, 15:00 Uhr - 16:00 Uhr in G401",,
RLC,RLC (Refugee Law Clinic),"Die RLC ist eine studentische Rechtsberatung für Geflüchtete. Wir beraten die Ratsuchenden zu allen Fragen des Migrations- und Asylrechts und unterstützen sie bei Behördengängen und Antragsstellungen. Dafür bilden wir in jedem Semester im Rahmen unserer Arbeitsgemeinschaft neue Berater\*innen aus. Unsere Beratungsausbildung richtet sich vor allem an Studierende der Rechtswissenschaften ab dem 3. Fachsemester, jedoch sind auch Studierende anderer Studiengänge und Semester willkommen. Die Ausbildung und die Supervision wird durch RA Sebastian Röder LL.M unterstützt und begleitet.

**Ansprechpartner\*innen**: Stina Schulz; Lisa-Marie Schultes; Isolde Wittig

In der Arbeitsgemeinschaft werden die nötigen Kenntnisse des Asylrechts für unsere Beratungsarbeit vermittelt. Diese wird durch eine Einführungsveranstaltung in jedem Semester eingeleitet. Zusätzlich bieten wir Vorträge zu migrationsrechtlich relevanten Gegebenheiten und Geschehnissen sowie der Entwicklung des Rechtsgebietes an. Die Tätigkeit bei der RLC vereint somit die praktische Anwendung eines vielseitigen Themengebietes und die Begegnung mit aktuellen politischen Vorgängen.","<p>Die RLC ist eine studentische Rechtsberatung für Geflüchtete. Wir beraten die Ratsuchenden zu allen Fragen des Migrations- und Asylrechts und unterstützen sie bei Behördengängen und Antragsstellungen. Dafür bilden wir in jedem Semester im Rahmen unserer Arbeitsgemeinschaft neue Berater*innen aus. Unsere Beratungsausbildung richtet sich vor allem an Studierende der Rechtswissenschaften ab dem 3. Fachsemester, jedoch sind auch Studierende anderer Studiengänge und Semester willkommen. Die Ausbildung und die Supervision wird durch RA Sebastian Röder LL.M unterstützt und begleitet.</p>
<p><strong>Ansprechpartner*innen</strong>: Stina Schulz; Lisa-Marie Schultes; Isolde Wittig</p>
<p>In der Arbeitsgemeinschaft werden die nötigen Kenntnisse des Asylrechts für unsere Beratungsarbeit vermittelt. Diese wird durch eine Einführungsveranstaltung in jedem Semester eingeleitet. Zusätzlich bieten wir Vorträge zu migrationsrechtlich relevanten Gegebenheiten und Geschehnissen sowie der Entwicklung des Rechtsgebietes an. Die Tätigkeit bei der RLC vereint somit die praktische Anwendung eines vielseitigen Themengebietes und die Begegnung mit aktuellen politischen Vorgängen.</p>
",rlc@uni-konstanz.de,https://www.uni-konstanz.de/refugee-law-clinic-konstanz/,,https://www.facebook.com/rlckonstanz,,,,,,,,,,
